Sr_No,Date,Startup_name,Industry_Vertical,SubVertical,City_Location,Investors_name,Investment_Type,Remarks,Amount_USD
302,19-04-18,Fyle Technologies,Technology,AI Based Expense MaNot specifiedgement Platform,Bangalore,Pravega Ventures and Beenext,Seed / Angel Funding,Not specified,1.1
303,19-04-18,True Balance,Technology,Mobile Balance Checking App,Gurugram,"Line Ventures Corporation, Line Corp, Not specifiedver, Shinhan Bank and TS Investment",Private Equity,Not specified,23
304,22-04-18,Visit,Healthcare,AI Driven Health tech Platform,Delhi,"Biz Stone, KuNot specifiedl Bahl, Rohit Bansal, Alagu PeriyanNot specified and Karthee Madasamy",Private Equity,Not specified,0
305,22-04-18,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,Not specified,1.9
306,22-04-18,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,Not specified,11
307,23-04-18,Mihuru,FiNot specifiedce,Online Platform Providing Micro Loans For Air Travel,Mumbai,Not specified,Seed / Angel Funding,Not specified,0.15
308,23-04-18,Capital Float,FiNot specifiedce,Online Lending Platform,Bangalore,Amazon,Private Equity,Not specified,22
309,25-04-18,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,Not specified,0.246
311,26-04-18,RailYatri,Consumer Internet,Online Travel Ticketing Platform,Noida,"Omidyar Network, Not specifieddan Nilekani, Blume Ventures, Helion Venture Partners",Private Equity,Not specified,0
310,26-04-18,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,Not specified,5.5
312,27-04-18,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,Not specified,10
313,29-04-18,Rubique,Consumer Internet,Online Lending MarketPlace,Mumbai,"Emery Capital, Blacksoil and Kalaari Capital",Private Equity,Not specified,0
315,30-04-18,MyLoanCare,FiNot specifiedce,B2C Online Loans Marketplace,Gurugram,SAR Group,Seed / Angel Funding,Not specified,0.978
314,30-04-18,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,Not specified,7.5
258,02-05-18,OpenTap,FiNot specifiedce,Online Lending Platform,ChenNot specifiedi,Unknown High Net-Worth Individuals,Seed / Angel Funding,Not specified,0.45
259,02-05-18,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, InterNot specifiedtioNot specifiedl FiNot specifiedce Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,Not specified,22
260,03-05-18,Disprz,IT,SaaS,ChenNot specifiedi,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,Not specified,2.5
261,07-05-18,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,Not specified,Seed / Angel Funding,Not specified,0.225
262,09-05-18,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,Not specified,1
263,11-05-18,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,Not specified,0.949
264,14-05-18,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,Not specified,24
265,16-05-18,mfine,Healthcare,Doctor-Consultation App,Bangalore,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,Not specified,4.2
266,21-05-18,Rocketium,Technology,Online Video Creation Platform,Bangalore,Blume ventures,Seed/ Angel Funding,Not specified,0.3
267,21-05-18,Milk Basket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,Not specified,7
268,22-05-18,Vola,FiNot specifiedce,Micro Lending Platform,Bangalore,Credika and unNot specifiedmed angel investors,Seed/ Angel Funding,Not specified,0.5
269,22-05-18,Cashkumar,Consumer Internet,P2P Lending Platform,Bangalore,LetsVenture,Seed/ Angel Funding,Not specified,0.735
270,23-05-18,Edyoo,E-Commerce,Products For Shoolgoing Children,Bangalore,RS Shanbag,Seed/ Angel Funding,Not specified,0.735
271,23-05-18,Aashiyaan,FiNot specifiedce,Housing FiNot specifiedce For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,Not specified,2
273,24-05-18,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,Not specified,0.293
272,24-05-18,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,Not specified,2
274,27-05-18,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Not specifiedrayaNot specified Murthy.",Seed/ Angel Funding,Not specified,12
275,28-05-18,HWell24 Plus,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R RangaNot specifiedthan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,Not specified,0.2
276,29-05-18,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,Not specified,1.5
277,29-05-18,Tone Tag,Technology,Mobile Payments Technology Platform,Bangalore,Amazon Inc. and Mastercard,Private Equity,Not specified,8
